Geneid	17-FC
ENSRNOG00000015844	485
ENSRNOG00000015860	190
ENSRNOG00000030127	1689
ENSRNOG00000035565	2
ENSRNOG00000016362	93
ENSRNOG00000025890	822
ENSRNOG00000056238	1
ENSRNOG00000016367	252
ENSRNOG00000059266	0
ENSRNOG00000016603	1300
ENSRNOG00000046667	389
ENSRNOG00000017839	416
ENSRNOG00000016825	96
ENSRNOG00000025350	94
ENSRNOG00000017753	675
ENSRNOG00000036303	2
ENSRNOG00000018101	7
ENSRNOG00000016837	0
ENSRNOG00000029745	2
ENSRNOG00000017069	2020
ENSRNOG00000052756	0
ENSRNOG00000060041	6
ENSRNOG00000017448	24
ENSRNOG00000017463	142
ENSRNOG00000017468	119
ENSRNOG00000043378	73
ENSRNOG00000017692	3158
ENSRNOG00000049772	82
ENSRNOG00000049605	7
ENSRNOG00000046000	1196
ENSRNOG00000033235	58
ENSRNOG00000018255	3456
ENSRNOG00000018402	2
ENSRNOG00000018405	3
ENSRNOG00000018426	24
ENSRNOG00000018454	24741
ENSRNOG00000018556	1211
ENSRNOG00000018730	207
ENSRNOG00000029399	282
ENSRNOG00000018953	0
ENSRNOG00000043416	20
ENSRNOG00000031391	1
ENSRNOG00000054552	0
ENSRNOG00000047795	0
ENSRNOG00000043088	0
ENSRNOG00000019202	71
ENSRNOG00000024630	0
ENSRNOG00000019260	0
ENSRNOG00000029336	3096
ENSRNOG00000056832	11
ENSRNOG00000029022	106
ENSRNOG00000032625	152
ENSRNOG00000054609	199
ENSRNOG00000024376	187
ENSRNOG00000019416	790
ENSRNOG00000055608	982
ENSRNOG00000019427	1
ENSRNOG00000019432	28
ENSRNOG00000019440	13
ENSRNOG00000019596	547
ENSRNOG00000024257	15
ENSRNOG00000037931	16
ENSRNOG00000024243	3703
ENSRNOG00000019802	475
ENSRNOG00000050032	11
ENSRNOG00000046500	958
ENSRNOG00000019862	3
ENSRNOG00000019915	894
ENSRNOG00000024065	196
ENSRNOG00000019982	171
ENSRNOG00000055259	35
ENSRNOG00000019999	1
ENSRNOG00000020057	0
ENSRNOG00000033358	0
ENSRNOG00000049821	0
ENSRNOG00000045922	0
ENSRNOG00000049317	0
