Geneid	12-FC
ENSRNOG00000042347	43
ENSRNOG00000042826	52
ENSRNOG00000060256	1
ENSRNOG00000058436	15
ENSRNOG00000043341	81
ENSRNOG00000042547	0
ENSRNOG00000025949	0
ENSRNOG00000047128	0
ENSRNOG00000058030	162
ENSRNOG00000057250	35
ENSRNOG00000051570	45
ENSRNOG00000054919	0
ENSRNOG00000055824	0
ENSRNOG00000047884	51
ENSRNOG00000026569	309
ENSRNOG00000028767	6
ENSRNOG00000051875	2
ENSRNOG00000061533	135
ENSRNOG00000059824	24
ENSRNOG00000055124	48
ENSRNOG00000011675	240
ENSRNOG00000029458	0
ENSRNOG00000058286	0
ENSRNOG00000054736	0
ENSRNOG00000047616	2
ENSRNOG00000060529	0
ENSRNOG00000053825	0
ENSRNOG00000054778	0
ENSRNOG00000056653	0
ENSRNOG00000055843	0
ENSRNOG00000058214	0
ENSRNOG00000057219	0
ENSRNOG00000055529	0
ENSRNOG00000009146	0
ENSRNOG00000058087	0
ENSRNOG00000054954	13
ENSRNOG00000053260	50
ENSRNOG00000058538	0
ENSRNOG00000058909	82
ENSRNOG00000055179	0
ENSRNOG00000052600	115
ENSRNOG00000059741	3
ENSRNOG00000058422	9
ENSRNOG00000059572	14
ENSRNOG00000054459	9
ENSRNOG00000061893	211
ENSRNOG00000053234	1001
ENSRNOG00000060004	4
ENSRNOG00000061039	506
ENSRNOG00000056098	270
ENSRNOG00000060293	372
ENSRNOG00000055716	17
ENSRNOG00000055796	0
ENSRNOG00000055581	0
ENSRNOG00000057852	10
ENSRNOG00000057848	1583
ENSRNOG00000054831	0
ENSRNOG00000056257	2880
ENSRNOG00000054371	5109
ENSRNOG00000053450	1078
ENSRNOG00000053124	0
ENSRNOG00000055798	0
ENSRNOG00000056884	0
ENSRNOG00000060745	2
ENSRNOG00000060612	0
ENSRNOG00000057399	0
ENSRNOG00000057453	0
ENSRNOG00000056886	0
ENSRNOG00000060727	0
ENSRNOG00000051974	0
ENSRNOG00000056469	0
ENSRNOG00000054438	0
ENSRNOG00000048635	0
ENSRNOG00000056036	108
ENSRNOG00000056327	8
ENSRNOG00000057050	7
ENSRNOG00000055298	2
ENSRNOG00000054417	0
ENSRNOG00000048100	0
ENSRNOG00000046198	1
ENSRNOG00000027550	1095
ENSRNOG00000027514	2989
ENSRNOG00000043328	911
ENSRNOG00000027487	2146
ENSRNOG00000027459	434
ENSRNOG00000019626	38
ENSRNOG00000060429	155
ENSRNOG00000019623	81
ENSRNOG00000027436	154
ENSRNOG00000051968	0
ENSRNOG00000038445	5
ENSRNOG00000019453	1315
ENSRNOG00000031113	132
ENSRNOG00000031459	179
ENSRNOG00000031328	509
ENSRNOG00000045583	11
ENSRNOG00000019376	416
ENSRNOG00000026861	380
ENSRNOG00000050831	1
ENSRNOG00000047703	0
ENSRNOG00000046317	0
ENSRNOG00000019280	6
ENSRNOG00000019127	147
ENSRNOG00000048663	0
ENSRNOG00000046802	0
ENSRNOG00000049902	0
ENSRNOG00000055247	1
ENSRNOG00000060288	6
ENSRNOG00000033061	0
ENSRNOG00000057670	0
ENSRNOG00000049720	0
ENSRNOG00000049529	0
ENSRNOG00000047370	0
ENSRNOG00000047230	192
ENSRNOG00000031210	0
ENSRNOG00000032062	0
ENSRNOG00000034101	0
ENSRNOG00000032817	2
ENSRNOG00000047429	0
ENSRNOG00000028882	0
ENSRNOG00000052304	0
ENSRNOG00000033483	0
ENSRNOG00000032226	0
ENSRNOG00000059074	5
ENSRNOG00000028877	0
ENSRNOG00000031178	15
ENSRNOG00000019082	10
ENSRNOG00000050887	0
ENSRNOG00000029852	0
ENSRNOG00000002628	0
ENSRNOG00000049274	0
ENSRNOG00000047610	0
ENSRNOG00000048033	0
ENSRNOG00000047242	0
ENSRNOG00000046455	0
ENSRNOG00000055229	3
ENSRNOG00000049847	0
ENSRNOG00000049412	0
ENSRNOG00000051882	0
ENSRNOG00000048370	0
ENSRNOG00000062307	0
ENSRNOG00000047540	0
ENSRNOG00000047013	0
ENSRNOG00000042030	0
ENSRNOG00000015707	0
ENSRNOG00000002641	0
ENSRNOG00000015271	99
ENSRNOG00000056113	0
ENSRNOG00000050476	69
ENSRNOG00000060875	2
ENSRNOG00000015598	25
ENSRNOG00000050407	3
ENSRNOG00000046153	13
ENSRNOG00000047061	32
ENSRNOG00000022742	156
ENSRNOG00000059513	0
ENSRNOG00000015825	249
ENSRNOG00000015956	1096
ENSRNOG00000055983	0
ENSRNOG00000057261	0
ENSRNOG00000046704	0
ENSRNOG00000054183	16
